id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,263399361,1,5,400,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,106339936,2,10,945,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,463399361,3,7,1000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,563399361,3,6,2000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,163399361,1,4,300,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,263399361,5,1,400,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,106339936,2,3,945,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,763399361,6,4,200,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,263399361,8,2,400,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,563399361,3,7,2000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
